util_bps,util_pct,actual_liquidity,hard_wall_reserve,reserve_fullness_pct,raw_out,net_out_after_fee,dampened_out,liquidity_factor_bps,effective_price_pct
9256,92.5600,10000000,10000000,100.00000000,9256000,8793200,2113321,2403,22.83190363
9306,93.0600,10000000,10000000,100.00000000,9306000,8840700,2049179,2317,22.01997636
9355,93.5500,10000000,10000000,100.00000000,9355000,8887250,1984912,2233,21.21765901
9405,94.0500,10000000,10000000,100.00000000,9405000,8934750,1917885,2146,20.39218501
9454,94.5400,10000000,10000000,100.00000000,9454000,8981300,1850765,2060,19.57652845
9504,95.0400,10000000,10000000,100.00000000,9504000,9028800,1780799,1972,18.73736322
9553,95.5300,10000000,10000000,100.00000000,9553000,9075350,1710773,1885,17.90822778
9603,96.0300,10000000,10000000,100.00000000,9603000,9122850,1637814,1795,17.05523274
9652,96.5200,10000000,10000000,100.00000000,9652000,9169400,1564828,1706,16.21247410
9702,97.0200,10000000,10000000,100.00000000,9702000,9216900,1488821,1615,15.34550608
9751,97.5100,10000000,10000000,100.00000000,9751000,9263450,1412821,1525,14.48898575
9801,98.0100,10000000,10000000,100.00000000,9801000,9310950,1333710,1432,13.60789715
9850,98.5000,10000000,10000000,100.00000000,9850000,9357500,1254640,1340,12.73746193
9900,99.0000,10000000,10000000,100.00000000,9900000,9405000,1172370,1246,11.84212121
